model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8
H+H,1,0.0,0.6655405966996649,0.657,0.626,0.617,0.63,0.604
H+H,2,0.0,0.5774199495360348,0.719,0.663,0.642,0.632,0.652
H+H,3,0.0,0.4696653653597284,0.8,0.642,0.633,0.622,0.644
H+H,4,0.0,0.414726111999011,0.808,0.628,0.611,0.598,0.624
H+H,5,0.0,0.381939248292705,0.858,0.639,0.602,0.596,0.608
H+H,6,0.0,0.36842802051835866,0.861,0.653,0.647,0.632,0.662
H+H,7,0.0,0.35503695967086124,0.871,0.651,0.636,0.61,0.662
H+H,8,0.0,0.3377111705731808,0.866,0.651,0.629,0.59,0.668
H+H,9,0.0,0.3307576828406801,0.877,0.657,0.633,0.62,0.646
H+H,10,0.0,0.31306840476651904,0.886,0.667,0.658,0.646,0.67
H+H,11,0.0,0.31707682190579606,0.881,0.637,0.636,0.612,0.66
H+H,12,0.0,0.2946049984523128,0.889,0.638,0.64,0.622,0.658
H+H,13,0.0,0.2877894358373515,0.89,0.643,0.639,0.63,0.648
H+H,14,0.0,0.29044407561016977,0.894,0.647,0.638,0.596,0.68
H+H,15,0.0,0.28349020091394944,0.893,0.654,0.634,0.62,0.648
H+H,16,0.0,0.2754777807563481,0.903,0.66,0.651,0.616,0.686
H+H,17,0.0,0.25376525772156133,0.903,0.66,0.65,0.618,0.682
H+H,18,0.0,0.2613304161893813,0.911,0.645,0.641,0.618,0.664
H+H,19,0.0,0.24908244826730802,0.91,0.675,0.64,0.642,0.638
H+H,20,0.0,0.2512418632421217,0.904,0.684,0.66,0.654,0.666
H+H,21,0.0,0.2581010256583839,0.91,0.671,0.658,0.642,0.674
H+H,22,0.0,0.24070799720086222,0.905,0.663,0.642,0.648,0.636
H+H,23,0.0,0.24880484487380605,0.914,0.668,0.653,0.64,0.666
H+H,24,0.0,0.23267059030941123,0.912,0.66,0.656,0.64,0.672
H+H,25,0.0,0.23962737192942568,0.91,0.646,0.615,0.612,0.618
H+H,26,0.0,0.23780596738325274,0.922,0.675,0.66,0.66,0.66
H+H,27,0.0,0.21165845791294685,0.919,0.675,0.647,0.636,0.658
H+H,28,0.0,0.2135785049047394,0.906,0.661,0.641,0.628,0.654
H+H,29,0.0,0.22586987099503866,0.909,0.674,0.611,0.616,0.606
H+H,30,0.0,0.2049821245985682,0.912,0.661,0.634,0.636,0.632
H+H,31,0.0,0.2117530485906294,0.915,0.662,0.641,0.632,0.65
H+H,32,0.0,0.19776991640107872,0.91,0.654,0.634,0.608,0.66
H+H,33,0.0,0.1865540084948754,0.907,0.653,0.632,0.622,0.642
H+H,34,0.0,0.18581291651656795,0.908,0.67,0.633,0.608,0.658
H+H,35,0.0,0.19181493924001822,0.912,0.66,0.639,0.624,0.654
H+H,36,0.0,0.18257336423280937,0.918,0.662,0.628,0.606,0.65
H+H,37,0.0,0.17009642534705727,0.912,0.651,0.644,0.636,0.652
H+H,38,0.0,0.19581321289661752,0.914,0.66,0.635,0.632,0.638
H+H,39,0.0,0.16636839472576406,0.919,0.666,0.634,0.626,0.642
H+H,40,0.0,0.18496621934241853,0.913,0.653,0.614,0.612,0.616
H+H,41,0.0,0.1507268303092079,0.914,0.637,0.615,0.594,0.636
H+H,42,0.0,0.15001432941281273,0.912,0.656,0.616,0.584,0.648
H+H,43,0.0,0.17078950545683694,0.911,0.649,0.612,0.588,0.636
H+H,44,0.0,0.14094772478208806,0.911,0.673,0.629,0.616,0.642
H+H,45,0.0,0.1366824979022333,0.918,0.626,0.627,0.606,0.648
H+H,46,0.0,0.15136282529234815,0.923,0.645,0.619,0.6,0.638
H+H,47,0.0,0.13256906745132663,0.93,0.657,0.624,0.61,0.638
H+H,48,0.0,0.14067735481553512,0.917,0.662,0.616,0.58,0.652
H+H,49,0.0,0.12404720131152296,0.914,0.635,0.618,0.6,0.636
H+H,50,0.0,0.12511810757714184,0.916,0.659,0.609,0.578,0.64
H+H,51,0.30069064505010495,0.1274122998463874,0.915,0.644,0.594,0.576,0.612
H+H,52,0.3027598545399327,0.10973100056635389,0.916,0.663,0.612,0.588,0.636
H+H,53,0.3061994622449589,0.1238870744553369,0.907,0.642,0.599,0.558,0.64
H+H,54,0.3109958936049791,0.126518471035968,0.921,0.643,0.61,0.598,0.622
H+H,55,0.31713021929669627,0.11988114944867381,0.91,0.668,0.605,0.602,0.608
H+H,56,0.324578229939112,0.11431968688993036,0.919,0.669,0.612,0.604,0.62
H+H,57,0.33331053163689317,0.09947215993064426,0.916,0.638,0.618,0.612,0.624
H+H,58,0.34329266198464775,0.1039651357470548,0.92,0.652,0.591,0.578,0.604
