epoch,pB_mean,loss_mean,loss_std,ID_mean,ID_std,MID_mean,MID_std,OOD_mean,OOD_std,Overall_mean,Overall_std,OOD7_mean,OOD7_std,OOD8_mean,OOD8_std
1,0.0,0.6856635,0.0056807213,0.5913333,0.020033328,0.591,0.008717809,0.56666666,0.0064291074,0.583,0.0075718486,0.5786666,0.006110081,0.55466664,0.00832668
2,0.0,0.62221503,0.011451425,0.62,0.00999999,0.62133336,0.030989243,0.616,0.025534295,0.6191111,0.016331092,0.6066667,0.016165813,0.6253333,0.03494756
3,0.0,0.5327335,0.014121981,0.63733333,0.012858193,0.639,0.0360971,0.6246667,0.014468376,0.6336667,0.012662298,0.6053333,0.018903267,0.644,0.043266613
4,0.0,0.4750092,0.008163871,0.6753333,0.052012805,0.6256666,0.019731538,0.628,0.018330308,0.64299995,0.012346824,0.60933334,0.014047539,0.6466667,0.022744952
5,0.0,0.42975166,0.01110034,0.6673333,0.057838865,0.63166666,0.025501633,0.61733335,0.018583154,0.6387778,0.022857869,0.608,0.024331031,0.62666667,0.014047539
6,0.36684406,0.38315463,0.007338733,0.6953333,0.055581756,0.658,0.013856434,0.64,0.011135508,0.66444445,0.024058513,0.62000006,0.03174902,0.66,0.010582993
7,0.54184407,0.36200628,0.008812435,0.682,0.06415608,0.6566667,0.010263194,0.6486667,0.03233159,0.6624444,0.03275726,0.6253333,0.029484453,0.672,0.036000013
8,0.758156,0.34718052,0.01245258,0.688,0.07102113,0.65466666,0.022188582,0.6333334,0.023437874,0.6586667,0.024030091,0.616,0.0415692,0.65066665,0.037806533
9,0.93315595,0.32534376,0.020130247,0.652,0.043266613,0.62899995,0.023895605,0.61800003,0.027999988,0.63299996,0.006064476,0.6013333,0.009237588,0.6346666,0.050806824
10,1.0,0.31558976,0.012364914,0.6866667,0.039310727,0.637,0.009539391,0.6213333,0.016165813,0.6483333,0.0055477875,0.6106667,0.020132905,0.63199997,0.027712801
