model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8,trace
H+H,1,0.0,0.6889714,0.614,0.587,0.564,0.58,0.548,1
H+H,2,0.0,0.6241509,0.61,0.657,0.644,0.624,0.664,1
H+H,3,0.0,0.5334126,0.628,0.653,0.634,0.612,0.656,1
H+H,4,0.0,0.47464272,0.674,0.635,0.648,0.624,0.672,1
H+H,5,0.0,0.44181165,0.688,0.657,0.638,0.636,0.64,1
H+H,6,0.36684406,0.3890644,0.718,0.674,0.642,0.632,0.652,1
H+H,7,0.54184407,0.37185577,0.716,0.668,0.678,0.648,0.708,1
H+H,8,0.75815594,0.35603264,0.69,0.673,0.66,0.64,0.68,1
H+H,9,0.93315595,0.3469755,0.64,0.65,0.63,0.596,0.664,1
H+H,10,1.0,0.32265612,0.702,0.631,0.624,0.632,0.616,1
H+H,1,0.0,0.68891513,0.576,0.585,0.562,0.572,0.552,2
H+H,2,0.0,0.63257515,0.62,0.601,0.594,0.592,0.596,2
H+H,3,0.0,0.5465037,0.632,0.666,0.632,0.584,0.68,2
H+H,4,0.0,0.48335013,0.624,0.639,0.624,0.608,0.64,2
H+H,5,0.0,0.419962,0.602,0.632,0.612,0.596,0.628,2
H+H,6,0.36684406,0.3749402,0.632,0.65,0.628,0.584,0.672,2
H+H,7,0.54184407,0.35486802,0.608,0.654,0.614,0.592,0.636,2
H+H,8,0.75815594,0.33294138,0.616,0.661,0.616,0.568,0.664,2
H+H,9,0.93315595,0.30716056,0.616,0.634,0.638,0.612,0.664,2
H+H,10,1.0,0.3013122,0.642,0.648,0.636,0.608,0.664,2
H+H,1,0.0,0.6791041,0.584,0.601,0.574,0.584,0.564,3
H+H,2,0.0,0.6099191,0.63,0.606,0.61,0.604,0.616,3
H+H,3,0.0,0.51828426,0.652,0.598,0.608,0.62,0.596,3
H+H,4,0.0,0.46703473,0.728,0.603,0.612,0.596,0.628,3
H+H,5,0.0,0.4274814,0.712,0.606,0.602,0.592,0.612,3
H+H,6,0.36684406,0.3854593,0.736,0.65,0.65,0.644,0.656,3
H+H,7,0.54184407,0.359295,0.722,0.648,0.654,0.636,0.672,3
H+H,8,0.75815594,0.35256758,0.758,0.63,0.624,0.64,0.608,3
H+H,9,0.93315595,0.32189524,0.7,0.603,0.586,0.596,0.576,3
H+H,10,1.0,0.32280087,0.716,0.632,0.604,0.592,0.616,3
