model,epoch,pB,loss,ID,MID,OOD,OOD7,OOD8,trace
H+L,1,0.0,0.7026718,0.534,0.579,0.566,0.544,0.588,1
H+L,2,0.0,0.65615386,0.586,0.64,0.596,0.592,0.6,1
H+L,3,0.0,0.6175462,0.612,0.655,0.644,0.62,0.668,1
H+L,4,0.0,0.5888347,0.602,0.647,0.618,0.624,0.612,1
H+L,5,0.0,0.56100196,0.652,0.668,0.65,0.648,0.652,1
H+L,6,0.36684406,0.52905804,0.62,0.667,0.636,0.628,0.644,1
H+L,7,0.54184407,0.5213274,0.636,0.663,0.626,0.644,0.608,1
H+L,8,0.75815594,0.50495005,0.674,0.673,0.654,0.652,0.656,1
H+L,9,0.93315595,0.48118994,0.662,0.674,0.646,0.656,0.636,1
H+L,10,1.0,0.45918804,0.656,0.667,0.598,0.604,0.592,1
H+L,1,0.0,0.67406726,0.544,0.627,0.594,0.58,0.608,2
H+L,2,0.0,0.61903614,0.616,0.654,0.648,0.6,0.696,2
H+L,3,0.0,0.58836114,0.61,0.669,0.648,0.628,0.668,2
H+L,4,0.0,0.54325914,0.608,0.662,0.638,0.592,0.684,2
H+L,5,0.0,0.51473874,0.636,0.678,0.642,0.616,0.668,2
H+L,6,0.36684406,0.495915,0.624,0.676,0.626,0.592,0.66,2
H+L,7,0.54184407,0.48084813,0.672,0.673,0.642,0.624,0.66,2
H+L,8,0.75815594,0.4627933,0.654,0.653,0.662,0.652,0.672,2
H+L,9,0.93315595,0.45285833,0.64,0.662,0.658,0.656,0.66,2
H+L,10,1.0,0.4409111,0.66,0.648,0.64,0.648,0.632,2
H+L,1,0.0,0.68692344,0.54,0.54,0.552,0.556,0.548,3
H+L,2,0.0,0.63864464,0.572,0.619,0.61,0.604,0.616,3
H+L,3,0.0,0.61564314,0.626,0.67,0.644,0.604,0.684,3
H+L,4,0.0,0.58437055,0.596,0.658,0.636,0.6,0.672,3
H+L,5,0.0,0.5566906,0.628,0.661,0.642,0.6,0.684,3
H+L,6,0.36684406,0.5347768,0.618,0.665,0.654,0.62,0.688,3
H+L,7,0.54184407,0.5199181,0.596,0.655,0.636,0.636,0.636,3
H+L,8,0.75815594,0.5029277,0.608,0.671,0.65,0.612,0.688,3
H+L,9,0.93315595,0.49467474,0.622,0.671,0.644,0.62,0.668,3
H+L,10,1.0,0.4758031,0.674,0.653,0.644,0.616,0.672,3
